,0,1,2,3
0,False,False,False,False
1,False,False,False,True
2,False,False,False,False
3,False,False,False,False
4,False,False,False,False
5,False,False,False,False
6,False,False,False,False
7,False,False,False,False
8,False,False,True,False
9,False,False,False,False
10,False,False,False,False
11,False,False,False,False
12,False,False,False,True
13,False,False,False,False
14,False,False,False,False
15,False,False,False,False
16,True,False,False,False
17,False,False,False,False
18,False,True,False,False
19,True,False,False,False
20,True,False,False,False
21,False,False,False,False
22,False,False,False,False
23,False,False,False,False
24,False,False,False,False
25,False,False,False,False
26,False,False,False,False
27,False,False,False,False
28,False,False,False,False
29,False,False,False,False
30,False,False,False,False
31,False,False,False,False
32,False,False,False,False
33,False,True,False,False
34,True,False,False,False
35,False,False,False,True
36,False,False,False,False
37,False,False,False,False
38,False,False,False,False
39,False,False,True,False
40,False,False,False,False
41,False,False,False,False
42,False,False,False,False
43,False,False,False,False
44,False,False,False,False
45,False,False,False,False
46,False,False,False,False
47,False,False,False,False
48,False,False,False,False
49,False,False,True,False
50,False,False,False,False
51,False,False,False,False
52,True,False,False,False
53,False,False,False,True
54,False,False,False,False
55,False,False,False,False
56,False,False,False,False
57,False,False,False,False
58,False,False,False,False
59,False,False,False,False
60,True,False,False,False
61,False,False,False,True
62,True,False,False,False
63,False,False,False,False
64,False,False,False,False
65,False,False,False,False
66,False,False,False,False
67,False,False,True,False
68,True,False,False,False
69,False,False,False,False
70,False,False,False,False
71,False,False,False,False
72,False,False,False,False
73,False,False,False,False
74,False,False,False,False
75,False,False,False,False
76,False,False,False,False
77,False,False,False,False
78,False,False,True,False
79,False,False,False,False
80,False,False,False,False
81,False,False,False,False
82,False,False,False,False
83,False,False,False,False
84,False,False,False,True
85,False,False,False,False
86,False,False,False,False
87,False,False,False,False
88,False,False,False,False
89,False,False,False,False
90,True,False,False,False
91,False,False,False,False
92,False,False,False,True
93,False,False,False,False
94,False,False,False,False
95,False,True,False,False
96,False,False,False,False
97,False,False,False,False
98,False,False,False,False
99,False,False,False,False
100,False,False,False,False
101,False,False,False,True
102,False,False,False,False
103,False,False,False,False
104,False,False,False,False
105,False,False,False,False
106,False,False,False,False
107,False,False,False,False
108,False,False,False,False
109,True,False,False,False
