,pcn_infered,knn_infered,real
0,0.3961802357492795,0.262,0.3
1,20.016870630043925,16.64,16.8
2,1.0252668700126057,0.9940000000000001,0.96
3,3.265376944614764,1.412,0.9
4,112.64291335485964,100.2,78.0
5,2.685674998822514,1.888,1.27
6,2.395993173798476,1.702,2.05
7,2.2906295059040254,2.37,2.4
8,2.7830997374327957,1.766,1.58
9,114.45588061009548,107.6,94.0
10,2.4257027468216865,1.6059999999999999,1.35
11,19.636812100254772,20.6,20.0
12,831.1482926263043,602.6,428.0
13,2.6786749960226715,2.934,2.14
14,113.3994774880936,101.2,100.0
15,7.399144677794641,5.273999999999999,4.38
16,19.975722400897666,16.7,16.1
17,3.065911413341812,2.8520000000000003,0.94
18,2.4323336537397884,1.8479999999999999,2.5
19,2.3081688546995305,2.5300000000000002,2.86
20,2.610703390682394,2.11,1.28
21,2.6292525721871605,0.8159999999999998,0.48
22,3.0974430460819917,1.8279999999999998,1.73
23,2.6247437915796388,3.004,3.04
24,12.816884972336695,12.556,12.29
25,1.10990957005518,0.8320000000000001,0.906
26,0.3895969899060504,0.442,0.63
27,19.865509478397442,17.92,18.0
28,20.370807815305284,19.380000000000003,19.0
29,872.1191306424979,639.4,510.0
