,pcn_infered,knn_infered,real
0,2.483238750238395,2.5520000000000005,2.48
1,19.933154003577414,20.2,18.5
2,1.0658454352236548,0.6679999999999999,0.65
3,3.4443933242115303,3.024,5.51
4,0.3991230771228646,0.512,0.63
5,0.9790929185719786,1.0779999999999998,0.99
6,12.869123242587593,12.344,12.42
7,3.2060086192729376,2.234,1.61
8,2.40819453619922,2.428,2.45
9,3.312793706043375,1.964,1.45
10,20.78838103375734,20.0,20.4
11,2.5698136799508062,2.402,2.38
12,13.236276933206817,13.948,13.05
13,774.9990121755895,660.0,560.0
14,2.4741875758422043,2.71,2.8
15,6.859367850910885,7.752,7.1
16,13.277862585265247,13.969999999999999,13.56
17,2.543031136623971,2.35,2.31
18,13.008625167004952,12.943999999999999,12.81
19,2.3328244333280264,1.678,1.15
20,2.561771667182917,1.174,1.09
21,1.860365149621095,1.8279999999999998,1.31
22,3.3050684293869144,1.8459999999999996,1.83
23,6.441449431225895,3.05,2.45
24,3.110564294985785,1.698,1.65
25,13.119620698782548,12.352,12.04
26,1.0835389640604496,0.932,0.86
27,20.57035650583694,21.1,21.5
28,859.8237581222758,1099.0,1290.0
29,2.437976499812386,2.766,2.61
30,2.6936491542453425,2.67,2.88
31,110.9643953339654,103.6,88.0
32,2.3790361078801103,2.294,2.25
33,114.86322722697093,100.6,118.0
34,2.6400567378947386,1.754,1.48
35,3.2214371754745597,3.188,5.19
36,2.3158320757165782,3.072,2.96
37,2.563707928896856,3.016,2.87
38,2.3668960937863517,3.04,3.25
39,5.983534960295866,5.6,7.5
40,2.7057847587239636,3.2219999999999995,3.14
41,6.557862453235026,7.260000000000001,5.0
42,2.453827820071057,2.5980000000000003,2.36
43,1.1930236800449023,1.016,0.7
44,2.69044428635042,3.42,3.47
45,2.723345297125832,2.966,3.2
46,3.025760339010782,1.8459999999999996,1.57
47,1.070787256848734,0.6619999999999999,0.73
48,1078.2735325948975,613.0,695.0
49,2.65147834273865,1.8519999999999999,2.13
50,12.758938364187278,12.738,12.21
51,2.3969259089769723,2.092,1.98
52,2.730299673350901,3.388,3.36
53,0.3888737386914327,0.29800000000000004,0.24
54,1.903422357523066,1.86,1.95
55,1008.2960736789706,507.3999999999999,660.0
56,12.802481560445386,13.106,12.93
57,3.2758812282885192,4.018,2.81
58,2.7265915749071277,2.496,2.64
59,3.08601192744989,2.59,5.8
60,6.632383564336209,3.202,2.6
61,1.1440014118097874,1.2080000000000002,1.19
62,2.379869211388134,2.294,2.12
63,2.6654710520547655,3.122,3.39
64,1.9757244358281183,1.8459999999999999,2.14
65,115.0386621337608,103.0,102.0
66,2.70544637816226,2.9179999999999997,3.23
67,110.6879859076418,96.6,102.0
68,921.5637172411264,1215.0,1375.0
69,3.527803563873479,1.4539999999999997,1.17
70,3.209738274155619,2.0820000000000003,3.8
71,8.035439542453325,3.0420000000000003,2.9
72,2.672716629108104,1.0460000000000003,0.96
73,2.4387057945061104,1.82,1.65
74,2.6506266341706413,1.958,2.11
75,1.1041518282467804,0.9560000000000001,0.93
76,2.47144839106846,1.6520000000000001,1.39
77,2.193249882622318,2.956,3.25
78,2.5464716193175843,2.592,2.6
79,12.804235155850622,13.474,13.28
80,2.7158448577112497,2.806,2.68
81,2.1833647840421126,2.648,2.27
82,828.8297925806429,861.8,937.0
83,0.36417379803300515,0.484,0.43
84,3.5527561410323947,1.6639999999999997,1.33
85,2.499711140447701,2.31,2.3
86,2.380364764937365,2.2880000000000003,2.32
87,2.6637055737269923,3.0619999999999994,2.3
88,3.315602255926349,2.02,4.31
89,1.8897026645961588,1.9639999999999997,1.46
90,2.5490198755435745,2.8259999999999996,2.8
91,6.753554804047741,5.116,4.32
92,2.647051849333862,3.392,3.59
